run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.power_draw,metrics.power_draw_total,metrics.running_time,metrics.n_tokens_in,metrics.n_tokens_out,metrics.running_time_total,params.parameters,params.model,params.architecture,params.dataset,params.n_samples,params.temperature,params.file_size,params.seconds,params.task,tags.mlflow.source.name,tags.mlflow.source.git.repoURL,tags.mlflow.project.entryPoint,tags.mlflow.user,tags.mlflow.runName,tags.mlflow.source.git.commit,tags.mlflow.source.type,tags.mlflow.project.backend,tags.mlflow.project.env
b337da95f7054690b2e6de84fc768cbc,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/b337da95f7054690b2e6de84fc768cbc/artifacts,2025-09-20 00:05:36.187000+00:00,2025-09-20 00:21:06.029000+00:00,1399.3736600180084,345645.2940244481,3.6472683504133325,33115.0,127179.0,900.8752825520932,8.0B,llama3.1:8b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),247,0.7,4920753328,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,hilarious-sheep-300,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
c31313c5f73241a9a67cd34c32c8e660,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/c31313c5f73241a9a67cd34c32c8e660/artifacts,2025-09-19 23:48:53.155000+00:00,2025-09-20 00:05:33.514000+00:00,2027.4369469349128,348719.154872805,5.225353160354601,31357.0,124400.0,898.7607435809914,8.0B,llama3.1:8b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),172,0.1,4920753328,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,amusing-sow-61,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
1f67b24f1ba64af29fe6f2178a26326b,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/1f67b24f1ba64af29fe6f2178a26326b/artifacts,2025-09-19 23:32:57.063000+00:00,2025-09-19 23:48:50.290000+00:00,3356.35152967014,261795.4193142709,11.855870973565077,8815.0,409020.0,924.757935938076,751.63M,qwen3:0.6b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),78,0.7,522653767,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,efficient-chimp-898,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
9695dbcbf06e49cfb55dc9628a1dcd08,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/9695dbcbf06e49cfb55dc9628a1dcd08/artifacts,2025-09-19 23:16:11.792000+00:00,2025-09-19 23:32:54.055000+00:00,5857.705349690368,269454.44608575694,20.500786242434636,5424.0,412293.0,943.0361671519933,751.63M,qwen3:0.6b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),46,0.1,522653767,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,carefree-kite-982,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
b788a62e41dc4907b02f283bd5c7c97c,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/b788a62e41dc4907b02f283bd5c7c97c/artifacts,2025-09-19 23:00:40.087000+00:00,2025-09-19 23:16:08.869000+00:00,6364.943161808283,330977.0444140307,17.2670311089426,9216.0,177853.0,897.8856176650152,4.0B,qwen3:4b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),52,0.7,2497293918,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,exultant-eel-769,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
5873d0bc670c440f926d1005fe55aa89,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/5873d0bc670c440f926d1005fe55aa89/artifacts,2025-09-19 22:44:32.310000+00:00,2025-09-19 23:00:37.157000+00:00,5289.34574355444,327939.43610037526,14.441634555014916,11791.0,178829.0,895.3813424109248,4.0B,qwen3:4b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),62,0.1,2497293918,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,kindly-elk-912,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
056280f3c60a455a8cfaf61a3e99966d,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/056280f3c60a455a8cfaf61a3e99966d/artifacts,2025-09-19 22:28:50.073000+00:00,2025-09-19 22:44:29.629000+00:00,7628.195557798712,358525.1912165395,19.36414347885008,4907.0,121788.0,910.1147435059538,8.2B,qwen3:8b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),47,0.7,5225388164,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,serious-mare-687,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
677b1ec7229649528abaf133b974e23c,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/677b1ec7229649528abaf133b974e23c/artifacts,2025-09-19 22:12:37.366000+00:00,2025-09-19 22:28:47.254000+00:00,13434.451754730399,349295.74562299036,33.96463171134774,4634.0,116186.0,883.0804244950414,8.2B,qwen3:8b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),26,0.1,5225388164,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,trusting-lynx-520,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
432e3b894cfb491fba681f128fd97aef,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/432e3b894cfb491fba681f128fd97aef/artifacts,2025-09-19 21:54:43.086000+00:00,2025-09-19 22:12:34.499000+00:00,5131.814847948125,266854.3720933025,20.01884055909558,12270.0,107648.0,1040.97970907297,6.9B,gemma3n:e4b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),52,0.7,7547589116,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,nebulous-ray-875,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
b7270836d7324a7787c03d7492fafa90,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/b7270836d7324a7787c03d7492fafa90/artifacts,2025-09-19 21:37:11.845000+00:00,2025-09-19 21:54:40.363000+00:00,2742.9693703844655,230409.4271122951,10.805104678058777,15134.0,93309.0,907.6287929569372,6.9B,gemma3n:e4b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),84,0.1,7547589116,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,spiffy-dolphin-283,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
