run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.power_draw,metrics.loss,metrics.running_time,metrics.power_draw_total,metrics.sparse_categorical_accuracy,metrics.running_time_total,metrics.sparse_top_k_categorical_accuracy,params.architecture,params.n_samples,params.seconds,params.datadir,params.task,params.parameters,params.batchsize,params.software,params.model,params.dataset,params.batch_size,tags.mlflow.source.type,tags.mlflow.source.git.repoURL,tags.mlflow.runName,tags.mlflow.project.env,tags.mlflow.source.name,tags.mlflow.project.entryPoint,tags.mlflow.project.backend,tags.mlflow.user,tags.mlflow.source.git.commit
a91ffe2148984f2c8116723ce9b7aead,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/a91ffe2148984f2c8116723ce9b7aead/artifacts,2025-09-11 13:27:51.589000+00:00,2025-09-11 13:30:39.717000+00:00,2.303891100431583,1.0102401971817017,0.009161272181486239,30263.913495269277,0.7691839337348938,120.34247137600325,0.9298111796379089,13th Gen Intel(R) Core(TM) i9-13900K,13136.0,120,/data/d1/fischer_diss/imagenet,Inference,23851784,16,Tensorflow 2.20.0,InceptionV3,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,luminous-rook-345,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
0cb08d22d13e4049a1e67a4cd6bad5cc,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/0cb08d22d13e4049a1e67a4cd6bad5cc/artifacts,2025-09-11 13:24:48.198000+00:00,2025-09-11 13:27:47.813000+00:00,5.622807388870976,0.9174167513847351,0.02281193866177593,29508.493176794884,0.7898247241973877,119.71705409700007,0.9415014982223511,13th Gen Intel(R) Core(TM) i9-13900K,5248.0,120,/data/d1/fischer_diss/imagenet,Inference,55873736,16,Tensorflow 2.20.0,InceptionResNetV2,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,angry-wolf-29,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
ec6de8b96f90402d9dcb12140b041db2,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/ec6de8b96f90402d9dcb12140b041db2/artifacts,2025-09-11 13:21:45.290000+00:00,2025-09-11 13:24:44.574000+00:00,4.521146375215322,1.761354923248291,0.018698415755157658,29803.396905419402,0.6764259934425354,123.25995665799928,0.8683252334594727,13th Gen Intel(R) Core(TM) i9-13900K,6592.0,120,/data/d1/fischer_diss/imagenet,Inference,60380648,16,Tensorflow 2.20.0,ResNet152V2,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,enchanting-lynx-390,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
c5d8f36fc20a459fbb088639f8dc1d78,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/c5d8f36fc20a459fbb088639f8dc1d78/artifacts,2025-09-11 13:18:48.479000+00:00,2025-09-11 13:21:41.540000+00:00,3.023627610910561,1.7491298913955688,0.012474013057019506,28688.178772319403,0.6747470498085022,118.35343588500108,0.873735249042511,13th Gen Intel(R) Core(TM) i9-13900K,9488.0,120,/data/d1/fischer_diss/imagenet,Inference,44675560,16,Tensorflow 2.20.0,ResNet101V2,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,clumsy-kite-21,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
149a62e698b94be3a2407b17b8d19708,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/149a62e698b94be3a2407b17b8d19708/artifacts,2025-09-11 13:15:55.869000+00:00,2025-09-11 13:18:44.782000+00:00,1.681204459415943,1.7943453788757324,0.006766259760048678,30449.97516894156,0.6537102460861206,122.55049677400166,0.8565592169761658,13th Gen Intel(R) Core(TM) i9-13900K,18112.0,120,/data/d1/fischer_diss/imagenet,Inference,25613800,16,Tensorflow 2.20.0,ResNet50V2,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,painted-lynx-191,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
da4f277f02604bfba80806e39234ccd6,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/da4f277f02604bfba80806e39234ccd6/artifacts,2025-09-11 13:12:52.602000+00:00,2025-09-11 13:15:52.247000+00:00,4.81604050731304,1.222561240196228,0.019782510416447813,29281.52628446328,0.7281249761581421,120.2776633320027,0.9004934430122375,13th Gen Intel(R) Core(TM) i9-13900K,6080.0,120,/data/d1/fischer_diss/imagenet,Inference,60419944,16,Tensorflow 2.20.0,ResNet152,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,resilient-ox-196,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
96601a9b61a248e3b6c4a362bce67b2b,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/96601a9b61a248e3b6c4a362bce67b2b/artifacts,2025-09-11 13:09:53.969000+00:00,2025-09-11 13:12:48.196000+00:00,3.365463533405492,1.2359850406646729,0.013678166431693922,29562.23167743384,0.7208561301231384,120.1490139359994,0.8983379006385803,13th Gen Intel(R) Core(TM) i9-13900K,8784.0,120,/data/d1/fischer_diss/imagenet,Inference,44707176,16,Tensorflow 2.20.0,ResNet101,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,grandiose-crab-935,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
4ca991914b6149d7bac5dc444a38c371,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/4ca991914b6149d7bac5dc444a38c371/artifacts,2025-09-11 13:07:02.978000+00:00,2025-09-11 13:09:50.595000+00:00,1.939908817641116,1.340744137763977,0.00783915051186116,29765.96089788528,0.699556827545166,120.28392545399764,0.8835375308990479,13th Gen Intel(R) Core(TM) i9-13900K,15344.0,120,/data/d1/fischer_diss/imagenet,Inference,25636712,16,Tensorflow 2.20.0,ResNet50,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,treasured-frog-495,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
6b2901a66b61471ea3a442f890816349,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/6b2901a66b61471ea3a442f890816349/artifacts,2025-09-11 13:04:09.357000+00:00,2025-09-11 13:06:59.446000+00:00,2.8724957132973037,1.1483795642852783,0.01121576678247725,30425.47459524504,0.7336668968200684,118.79740175999903,0.9037008881568909,13th Gen Intel(R) Core(TM) i9-13900K,10592.0,120,/data/d1/fischer_diss/imagenet,Inference,20242984,16,Tensorflow 2.20.0,DenseNet201,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,sneaky-flea-408,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
c89e2fd07e3a4e33a62e0c2a17d189c6,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/c89e2fd07e3a4e33a62e0c2a17d189c6/artifacts,2025-09-11 13:01:16.884000+00:00,2025-09-11 13:04:05.590000+00:00,1.9327633959241584,1.3008944988250732,0.007674806833228649,30769.5932631126,0.6908919811248779,122.18292478500008,0.8820351958274841,13th Gen Intel(R) Core(TM) i9-13900K,15920.0,120,/data/d1/fischer_diss/imagenet,Inference,8062504,16,Tensorflow 2.20.0,DenseNet121,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,loud-cat-499,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
91eddb55eacd434da0b1efad339e6023,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/91eddb55eacd434da0b1efad339e6023/artifacts,2025-09-11 12:58:28.478000+00:00,2025-09-11 13:01:13.276000+00:00,8.998413192660713,0.9943518042564392,0.03553746708977378,30270.661980110643,0.7776456475257874,119.548039289999,0.9301427006721497,13th Gen Intel(R) Core(TM) i9-13900K,3364.0,120,/data/d1/fischer_diss/imagenet,Inference,28589128,4,Tensorflow 2.20.0,ConvNeXtTiny,ImageNet (ILSVRC 2012),4,PROJECT,https://github.com/raphischer/ai-energy-validation.git,defiant-deer-775,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
