run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.running_time_total,metrics.running_time,metrics.sparse_top_k_categorical_accuracy,metrics.power_draw_total,metrics.loss,metrics.sparse_categorical_accuracy,metrics.power_draw,params.batchsize,params.architecture,params.batch_size,params.seconds,params.dataset,params.task,params.datadir,params.software,params.n_samples,params.parameters,params.model,tags.mlflow.source.type,tags.mlflow.project.env,tags.mlflow.project.backend,tags.mlflow.runName,tags.mlflow.source.git.repoURL,tags.mlflow.source.git.commit,tags.mlflow.user,tags.mlflow.project.entryPoint,tags.mlflow.source.name
51c776a8972e43d5bad489a0f199823c,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/51c776a8972e43d5bad489a0f199823c/artifacts,2025-09-20 10:53:56.004000+00:00,2025-09-20 10:56:48.532000+00:00,118.947895994992,0.00924657151702363,0.9299595952033997,29134.09445034708,1.0101397037506104,0.7695118188858032,2.2647772427197665,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,12864.0,23851784,InceptionV3,PROJECT,conda,local,unique-tern-120,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
c9e409d3effb4ef4aaf2c8c278c64950,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/c9e409d3effb4ef4aaf2c8c278c64950/artifacts,2025-09-20 10:50:47.325000+00:00,2025-09-20 10:53:52.188000+00:00,119.9883301369846,0.022933549338108677,0.9413226246833801,29326.040860049998,0.9194789528846741,0.7893730998039246,5.605130133801605,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,5232.0,55873736,InceptionResNetV2,PROJECT,conda,local,awesome-snail-625,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
537fb0561df348d58ea0e7a024b17f25,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/537fb0561df348d58ea0e7a024b17f25/artifacts,2025-09-20 10:47:42.140000+00:00,2025-09-20 10:50:43.519000+00:00,119.17993843194564,0.018715442592956287,0.8680904507637024,28548.652723297197,1.7712655067443848,0.6758794188499451,4.483142701522801,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,6368.0,60380648,ResNet152V2,PROJECT,conda,local,charming-smelt-284,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
58441037fd0140a0a2e6e1ebe5fefe92,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/58441037fd0140a0a2e6e1ebe5fefe92/artifacts,2025-09-20 10:44:40.981000+00:00,2025-09-20 10:47:38.045000+00:00,120.53814022697044,0.012598049772885707,0.8732232451438904,29148.65261629596,1.7576128244400024,0.6744356155395508,3.04647289049916,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,9568.0,44675560,ResNet101V2,PROJECT,conda,local,upset-asp-527,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
2ec2890467ad45bd8b0a1d19f44208b3,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/2ec2890467ad45bd8b0a1d19f44208b3/artifacts,2025-09-20 10:41:47.340000+00:00,2025-09-20 10:44:37.044000+00:00,119.4155456579756,0.006754272944455633,0.855656087398529,28843.57253309904,1.8014566898345947,0.6527714729309082,1.6314237858087692,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,17680.0,25613800,ResNet50V2,PROJECT,conda,local,skillful-skunk-209,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
686e1c7d2ad0442887c36bbc4b79490a,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/686e1c7d2ad0442887c36bbc4b79490a/artifacts,2025-09-20 10:38:40.117000+00:00,2025-09-20 10:41:43.567000+00:00,119.36958813201636,0.020163781779056818,0.9008445739746094,28562.21437312584,1.2232238054275513,0.7280405163764954,4.8246983738388245,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,5920.0,60419944,ResNet152,PROJECT,conda,local,casual-fish-249,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
53852fe186d24581a832cd191ec617cf,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/53852fe186d24581a832cd191ec617cf/artifacts,2025-09-20 10:35:39.574000+00:00,2025-09-20 10:38:36.377000+00:00,120.60378351493272,0.013805378149603104,0.8981227278709412,29043.115371404998,1.238167643547058,0.720695972442627,3.324532437202953,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,8736.0,44707176,ResNet101,PROJECT,conda,local,unleashed-grouse-758,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
562d691da2db4527abeb6de337226a02,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/562d691da2db4527abeb6de337226a02/artifacts,2025-09-20 10:32:44.585000+00:00,2025-09-20 10:35:35.836000+00:00,120.46743299299852,0.00786751782869635,0.8836206793785095,29494.384898276883,1.3401079177856445,0.6997779607772827,1.9262268089261287,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,15312.0,25636712,ResNet50,PROJECT,conda,local,rebellious-worm-383,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
f9469efa9ccb42bdb55270416f5d091f,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/f9469efa9ccb42bdb55270416f5d091f/artifacts,2025-09-20 10:29:42.533000+00:00,2025-09-20 10:32:40.759000+00:00,121.88212210102938,0.011369600942260203,0.9030783772468567,30302.53163757252,1.1503901481628418,0.733395516872406,2.82672869753475,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,10720.0,20242984,DenseNet201,PROJECT,conda,local,dazzling-goose-988,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
70d0302e7fa54054a2a79d07468de9f7,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/70d0302e7fa54054a2a79d07468de9f7/artifacts,2025-09-20 10:26:47.467000+00:00,2025-09-20 10:29:39.155000+00:00,119.17793319898192,0.007678990541171516,0.8818299174308777,29455.57264253616,1.302427887916565,0.6902706027030945,1.897910608410835,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,15520.0,8062504,DenseNet121,PROJECT,conda,local,adorable-robin-884,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
8dfed34dcdb54ebd919264942b8a8b95,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/8dfed34dcdb54ebd919264942b8a8b95/artifacts,2025-09-20 10:23:50.784000+00:00,2025-09-20 10:26:43.469000+00:00,122.64539504202548,0.036632435795109164,0.9301075339317322,30055.659543204118,0.9946680665016174,0.7774791121482849,8.977198190921182,4,13th Gen Intel(R) Core(TM) i9-13900K,4,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,3348.0,28589128,ConvNeXtTiny,PROJECT,conda,local,dashing-hog-429,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
0c57b4c0c0a746369c080525ce0da8eb,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/0c57b4c0c0a746369c080525ce0da8eb/artifacts,2025-09-20 10:20:50.620000+00:00,2025-09-20 10:23:47.064000+00:00,116.11328559101094,0.06944574497070032,0.9479665160179138,26039.53731122856,0.8718878030776978,0.8026315569877625,15.573885951691722,4,13th Gen Intel(R) Core(TM) i9-13900K,4,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,1672.0,50223688,ConvNeXtSmall,PROJECT,conda,local,bedecked-midge-46,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
