run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.running_time_total,metrics.running_time,metrics.n_tokens_out,metrics.power_draw,metrics.n_tokens_in,metrics.power_draw_total,params.parameters,params.task,params.model,params.architecture,params.file_size,params.dataset,params.temperature,params.seconds,params.n_samples,tags.mlflow.user,tags.mlflow.source.git.commit,tags.mlflow.project.env,tags.mlflow.source.name,tags.mlflow.project.backend,tags.mlflow.source.git.repoURL,tags.mlflow.runName,tags.mlflow.project.entryPoint,tags.mlflow.source.type
5bdbb5f9e2bc4a9d8f77b01bbb2e8f19,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/5bdbb5f9e2bc4a9d8f77b01bbb2e8f19/artifacts,2025-09-11 19:33:14.471000+00:00,2025-09-11 19:50:06.852000+00:00,966.7981428839994,16.961370927789464,421151.0,4845.649466248295,6160.071428571428,276202.0195761528,751.63M,Inference,qwen3:0.6b,NVIDIA GeForce RTX 4090,522653767,LLM Benchmark (Puffin),0.1,900,57,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,brawny-wolf-832,main.py,PROJECT
75062e12775a47fc879cc23d3751acb6,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/75062e12775a47fc879cc23d3751acb6/artifacts,2025-09-11 19:17:43.810000+00:00,2025-09-11 19:33:11.842000+00:00,900.443904617001,15.007398410283349,179873.0,5523.049561164906,7359.0,331382.97366989433,4.0B,Inference,qwen3:4b,NVIDIA GeForce RTX 4090,2497293918,LLM Benchmark (Puffin),0.7,900,60,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,defiant-ape-99,main.py,PROJECT
c5fe162425fa4298b6511ca45d7b2fc0,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/c5fe162425fa4298b6511ca45d7b2fc0/artifacts,2025-09-11 19:01:05.623000+00:00,2025-09-11 19:17:41.205000+00:00,905.2816020239987,20.11736893386664,177894.0,7476.38732275272,6508.0,336437.4295238724,4.0B,Inference,qwen3:4b,NVIDIA GeForce RTX 4090,2497293918,LLM Benchmark (Puffin),0.1,900,45,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,bright-worm-572,main.py,PROJECT
7104b68ac7954b1fa95285086534a0b5,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/7104b68ac7954b1fa95285086534a0b5/artifacts,2025-09-11 18:45:38.120000+00:00,2025-09-11 19:01:03.127000+00:00,899.8297715610024,24.31972355570277,119562.0,9631.115347785353,5160.0,356351.26786805806,8.2B,Inference,qwen3:8b,NVIDIA GeForce RTX 4090,5225388164,LLM Benchmark (Puffin),0.7,900,37,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,hilarious-goose-97,main.py,PROJECT
004dfadb11b247c986593e42201ca1ee,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/004dfadb11b247c986593e42201ca1ee/artifacts,2025-09-11 18:29:29.569000+00:00,2025-09-11 18:45:35.500000+00:00,866.4792208910003,61.891372920785734,112752.0,24637.093049846906,2034.0,344919.3026978567,8.2B,Inference,qwen3:8b,NVIDIA GeForce RTX 4090,5225388164,LLM Benchmark (Puffin),0.1,900,14,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,nosy-flea-7,main.py,PROJECT
3dac03a4782c43b39017eee5e627d180,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/3dac03a4782c43b39017eee5e627d180/artifacts,2025-09-11 18:14:14.918000+00:00,2025-09-11 18:29:27.226000+00:00,886.2970767919978,17.044174553692265,91660.0,4394.7645465331725,8740.0,228527.756419725,6.9B,Inference,gemma3n:e4b,NVIDIA GeForce RTX 4090,7547589116,LLM Benchmark (Puffin),0.7,900,52,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,masked-hare-497,main.py,PROJECT
4041e3c83adf49188f013f6dfb5761b2,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/4041e3c83adf49188f013f6dfb5761b2/artifacts,2025-09-11 17:57:37.724000+00:00,2025-09-11 18:14:12.628000+00:00,891.8363361000011,11.01032513703705,89506.0,2815.7016018936442,17221.215189873416,228071.8297533852,6.9B,Inference,gemma3n:e4b,NVIDIA GeForce RTX 4090,7547589116,LLM Benchmark (Puffin),0.1,900,81,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,honorable-pig-592,main.py,PROJECT
14f3e512182b4940b0a6b8e2a4718870,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/14f3e512182b4940b0a6b8e2a4718870/artifacts,2025-09-11 17:41:52.087000+00:00,2025-09-11 17:57:35.109000+00:00,918.2426958599972,4.4146283454807556,371795.0,857.1806051244542,36503.49268292682,178293.56586588648,268.10M,Inference,gemma3:270m,NVIDIA GeForce RTX 4090,291554930,LLM Benchmark (Puffin),0.7,900,208,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,spiffy-quail-1,main.py,PROJECT
e7a5fd75c05f4dfe9f0cd0fc5317ed33,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/e7a5fd75c05f4dfe9f0cd0fc5317ed33/artifacts,2025-09-11 17:24:49.120000+00:00,2025-09-11 17:41:49.484000+00:00,983.7616382359992,11.053501553213474,413992.0,2183.6295290176668,14329.0,194343.02808257233,268.10M,Inference,gemma3:270m,NVIDIA GeForce RTX 4090,291554930,LLM Benchmark (Puffin),0.1,900,89,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,rumbling-penguin-856,main.py,PROJECT
3e4817dffe084e2ba72e9d196ac8c695,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/3e4817dffe084e2ba72e9d196ac8c695/artifacts,2025-09-11 17:06:11.407000+00:00,2025-09-11 17:24:46.566000+00:00,1089.9935284460007,6.374231160502928,200610.0,2071.634084024059,21960.0,354249.4283681141,4.3B,Inference,gemma3:4b,NVIDIA GeForce RTX 4090,3338801804,LLM Benchmark (Puffin),0.7,900,171,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,legendary-croc-464,main.py,PROJECT
